Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
16228_1#21.contigs_velvet	OL101	unknown (OL101)	Good	?*	100.00%	92.10%	n/a	9 / 9 (100%)	OL101_01_rfbB,97.183%;OL101_02_rfbA,97.794%;OL101_03_rfbD,98.653%;OL101_04_rfbC,96.757%;OL101_05_wbbL,98.917%;OL101_06_wzm,98.921%;OL101_07_wzt,99.324%;OL101_08_wbbB,95.711%;OL101_09_glycosylhydrolase,92.553%		0		0 / 9 (0%)		2	O12_01_rfbB,98.31%;OL103_01_rmlC,96.774%
16228_1#26.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.73%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,97.651%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.583%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.63%;O12_04_rfbC,97.838%
16228_1#28.contigs_velvet	O1/O2v2	O1b	Very high		100.00%	98.53%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.741%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		2	Extra_genes_wbbY_01_wbbY,99.865%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#29.contigs_velvet	O1/O2v2	O2ac	Good	?	100.00%	98.31%	n/a	10 / 10 (100%)	O1/O2v2_01_wzm,99.609%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.892%;O1/O2v2_04_glf,98.701%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.357%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbmVW_02_wbmW,98.975%;O3b_01_manC,99.788%;O3/O3a_02_manB,99.123%;Extra_genes_wbmVW_01_wbmV,99.763%
16228_1#2.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.89%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#30.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#31.contigs_velvet	O1/O2v2	O1b	Very high		100.00%	98.49%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.418%;O1/O2v2_04_glf,98.701%;O1/O2v2_05_wbbN,97.987%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,98.511%;O1/O2v2_08_gmlC,97.536%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		6	Extra_genes_wbbY_01_wbbY,99.73%;O12_01_rfbB,97.746%;OL101_03_rfbD,98.316%;OL101_02_rfbA,96.875%;Extra_genes_wbbZ_01_wbbZ,100.0%;O12_04_rfbC,95.676%
16228_1#32.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.41%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.246%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#34.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.02%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,96.583%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,100.0%;O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.63%;O12_04_rfbC,97.838%
16228_1#36.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#38.contigs_velvet	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
16228_1#39.contigs_velvet	O1/O2v1	O1b	Very high		99.99%	98.16%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,99.664%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		5	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,99.576%;O3/O3a_02_manB,99.123%;O4_06_glycosyltransferase,99.728%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#3.contigs_velvet	O5	O5	High	-*	99.20%	94.19%	0 bp	7 / 8 (87.5%)	O5_01_manC,99.364%;O5_02_manB,99.129%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,94.366%;O5_06_wbdA,95.47%;O5_07_wbdB,99.223%	O5_08_wbdC	0		0 / 8 (0%)		0	
16228_1#40.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.52%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,99.221%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#47.contigs_velvet	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
16228_1#4.contigs_velvet	O3/O3a	O3/O3a	Very high		100.00%	99.27%	+4827 bp	8 / 8 (100%)	O3/O3a_01_manC,99.788%;O3/O3a_02_manB,98.904%;O3/O3a_03_wzm,100.0%;O3/O3a_04_wzt,100.0%;O3/O3a_05_wbdD,99.295%;O3/O3a_06_wbdA,100.0%;O3/O3a_07_wbdB,99.476%;O3/O3a_08_wbdC,100.0%		0		0 / 8 (0%)		0	
16228_1#50.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.02%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,96.583%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.63%;O12_04_rfbC,97.297%
16228_1#51.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.87%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#52.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.40%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.051%;O1/O2v1_04_glf,97.662%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,99.317%		0		0 / 7 (0%)		2	Extra_genes_wbbY_01_wbbY,99.571%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#53.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.02%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,98.148%;O1/O2v1_07_kfoC,97.267%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,98.465%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#54.contigs_velvet	O4	O4	None	?-*	86.42%	76.90%	n/a	4 / 6 (66.7%)	O4_01_hydrolase,80.067%;O4_02_hypothetical,89.924%;O4_04_wzt,91.064%;O4_05_wzm,91.393%	O4_03_hypothetical;O4_06_glycosyltransferase	0		0 / 6 (0%)		0	
16228_1#55.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.33%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,97.039%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.73%;O12_01_rfbB,98.592%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.259%;O12_04_rfbC,97.297%
16228_1#56.contigs_velvet	O1/O2v1	O1b	Good	?	100.00%	99.96%	n/a	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#57.contigs_velvet	O1/O2v2	O1b	Very high		100.00%	98.44%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,97.125%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		2	Extra_genes_wbbY_01_wbbY,99.865%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#58.contigs_velvet	O1/O2v2	O1b	Very high		100.00%	99.18%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.525%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,99.752%;O1/O2v2_08_gmlC,99.384%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.595%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#59.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	97.89%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.701%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#5.contigs_velvet	O4	O4	Very high		100.00%	99.66%	0 bp	6 / 6 (100%)	O4_01_hydrolase,99.499%;O4_02_hypothetical,99.748%;O4_03_hypothetical,99.433%;O4_04_wzt,100.0%;O4_05_wzm,98.77%;O4_06_glycosyltransferase,99.476%		0		0 / 6 (0%)		0	
16228_1#60.contigs_velvet	O1/O2v2	O1b	Good	-	97.75%	99.03%	+38 bp	9 / 10 (90%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.842%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,98.768%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,99.206%	O1/O2v2_04_glf	0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
16228_1#61.contigs_velvet	O1/O2v2	O2afg	Very high		100.00%	98.67%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,99.684%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,97.741%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%
16228_1#63.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#64.contigs_velvet	O1/O2v1	O2a	Very high		100.00%	98.97%	-1 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.842%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.405%		0		0 / 7 (0%)		2	O3b_01_manC,99.788%;O3/O3a_02_manB,98.684%
16228_1#65.contigs_velvet	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.028%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
16228_1#66.contigs_velvet	O1/O2v1	O1b	Very high		100.00%	98.70%	-1 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,99.842%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,97.987%;O1/O2v1_06_wbbO,97.884%;O1/O2v1_07_kfoC,99.544%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#67.contigs_velvet	O1/O2v2	O1b	Very high		100.00%	96.57%	-2 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,97.976%;O1/O2v2_03_wbbM,98.259%;O1/O2v2_04_glf,98.701%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,97.27%;O1/O2v2_08_gmlC,95.072%;O1/O2v2_09_gmlB,98.471%;O1/O2v2_10_gmlA,97.619%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;OL104_01_manC,96.186%;OL104_02_manB,95.175%;Extra_genes_wbbZ_01_wbbZ,99.63%
16228_1#68.contigs_velvet	OL104	unknown (OL104)	Good	?	99.42%	99.75%	n/a	8 / 8 (100%)	OL104_01_manC,99.788%;OL104_02_manB,95.937%;OL104_03_wzm,100.0%;OL104_04_wzt,100.0%;OL104_05_wbdD,99.854%;OL104_06_wbdA,99.875%;OL104_07_wbdB,99.738%;OL104_08_wbdC,100.0%		0		0 / 8 (0%)		4	OL101_01_rfbB,92.676%;OL102_02_rfbA,95.172%;OL102_03_rfbD,90.572%;O12_04_rfbC,90.27%
