Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
16228_1#15.contigs_velvet	KL118	unknown (KL118)	None	?-	92.26%	99.23%	n/a	17 / 21 (81.0%)	KL118_01_galF,99.331%;KL118_02_cpsACP,100.0%;KL118_03_wzi,99.582%;KL118_04_wza,99.736%;KL118_05_wzb,100.0%;KL118_06_wzc,99.861%;KL118_07_wbaP,100.0%;KL118_08_wcaA,99.671%;KL118_09,99.206%;KL118_10_wcoY,99.709%;KL118_11_wcaM,100.0%;KL118_15,100.0%;KL118_16_gnd,100.0%;KL118_17_rmlB,99.437%;KL118_18_rmlA,100.0%;KL118_19_rmlD,99.663%;KL118_21_ugd,100.0%	KL118_12_wcqP;KL118_13_wzx;KL118_14_wcuN;KL118_20_rmlC	0		0 / 21 (0%)		1	KL150_19_gmd,99.403%
16228_1#18.contigs_velvet	KL62	K62	Very high		100.00%	99.82%	0 bp	19 / 19 (100%)	KL62_01_galF,100.0%;KL62_02_cpsACP,100.0%;KL62_03_wzi,99.606%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.861%;KL62_07_wbaP,99.79%;KL62_08,100.0%;KL62_09,99.709%;KL62_10,100.0%;KL62_11_wzy,100.0%;KL62_12,100.0%;KL62_13,99.722%;KL62_14,100.0%;KL62_15_wzx,99.772%;KL62_16_gnd,100.0%;KL62_17_manC,100.0%;KL62_18_manB,99.781%;KL62_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,98.806%
16228_1#19.contigs_velvet	KL24	K24	Very high		100.00%	99.02%	+1 bp	19 / 19 (100%)	KL24_01_galF,100.0%;KL24_02_cpsACP,97.143%;KL24_03_wzi,98.536%;KL24_04_wza,100.0%;KL24_05_wzb,100.0%;KL24_06_wzc,100.0%;KL24_07_wcuD,99.738%;KL24_08_wcuC,98.806%;KL24_09_wcuV,99.757%;KL24_10_wbaZ,99.741%;KL24_11_wcaJ,100.0%;KL24_12_wcuE,99.698%;KL24_13_wcuG,99.703%;KL24_14_wzy,99.112%;KL24_15_wzx,99.791%;KL24_16_gnd,99.574%;KL24_17_manC,100.0%;KL24_18_manB,99.781%;KL24_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,99.701%
16228_1#21.contigs_velvet	KL127	unknown (KL127)	Good	?	100.00%	99.76%	n/a	19 / 19 (100%)	KL127_01_galF,100.0%;KL127_02_cpsACP,100.0%;KL127_03_wzi,100.0%;KL127_04_wza,100.0%;KL127_05_wzb,100.0%;KL127_06_wzc,100.0%;KL127_07_wbaP,100.0%;KL127_08_wctK,100.0%;KL127_09_wzy,100.0%;KL127_10,100.0%;KL127_11,100.0%;KL127_12_wcpJ,100.0%;KL127_13,100.0%;KL127_14_gnd,99.787%;KL127_15_rmlB,99.718%;KL127_16_rmlA,100.0%;KL127_17_rmlD,100.0%;KL127_18_rmlC,98.378%;KL127_19_ugd,100.0%		0		0 / 19 (0%)		2	KL109_18_rmlB,100.0%;KL150_19_gmd,99.67%
16228_1#26.contigs_velvet	KL103	unknown (KL103)	Very high	*	100.00%	96.71%	-5 bp	21 / 21 (100%)	KL103_01_galF,98.662%;KL103_02_cpsACP,94.762%;KL103_03_wzi,98.326%;KL103_04_wza,100.0%;KL103_05_wzb,100.0%;KL103_06_wzc,99.583%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,97.746%;KL103_10,99.788%;KL103_11_wcaN,98.983%;KL103_12_wzy,98.78%;KL103_13_wcpL,98.933%;KL103_14_wcuT,98.917%;KL103_15_wzx,98.747%;KL103_16_gnd,99.787%;KL103_17_rmlB,99.155%;KL103_18_rmlA,97.917%;KL103_19_rmlD,98.99%;KL103_20_rmlC,98.919%;KL103_21_ugd,99.743%		0		0 / 21 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,99.104%
16228_1#28.contigs_velvet	KL106	unknown (KL106)	Good		98.25%	99.94%	+1583 bp	18 / 18 (100%)	KL106_01_galF,100.0%;KL106_02_cpsACP,98.571%;KL106_03_wzi,100.0%;KL106_04_wza,100.0%;KL106_05_wzb,100.0%;KL106_06_wzc,100.0%;KL106_07_wzy,100.0%;KL106_08,100.0%;KL106_09,100.0%;KL106_10_wecB,100.0%;KL106_11_wzx,100.0%;KL106_12,100.0%;KL106_13_wzx,99.796%;KL106_14,100.0%;KL106_15_rfbp,100.0%;KL106_16_gnd,100.0%;KL106_17,99.702%;KL106_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,99.595%;KL40_04,99.504%;KL40_05_rfaG,98.95%;KL150_19_gmd,98.507%
16228_1#29.contigs_velvet	KL39	K39	Good	?-*	98.89%	91.24%	n/a	19 / 20 (95%)	KL39_01_galF,98.997%;KL39_02_cpsACP,92.381%;KL39_03_wzi,97.908%;KL39_04_wza,98.945%;KL39_05_wzb,96.552%;KL39_06_wzc,96.944%;KL39_07,82.514%;KL39_08_wzy,91.089%;KL39_09_mshA,85.758%;KL39_10_epsH,88.462%;KL39_11_epsJ,81.065%;KL39_12_wzx,94.093%;KL39_13,90.746%;KL39_15_wbaZ,91.948%;KL39_16_wcaJ,97.21%;KL39_17_gnd,99.36%;KL39_18_manC,99.576%;KL39_19_manB,100.0%;KL39_20_ugd,100.0%	KL39_14	0		0 / 20 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,97.91%
16228_1#2.contigs_velvet	KL62	K62	Good	?	100.00%	99.81%	n/a	19 / 19 (100%)	KL62_01_galF,100.0%;KL62_02_cpsACP,100.0%;KL62_03_wzi,99.606%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.861%;KL62_07_wbaP,100.0%;KL62_08,100.0%;KL62_09,99.709%;KL62_10,100.0%;KL62_11_wzy,100.0%;KL62_12,100.0%;KL62_13,99.722%;KL62_14,100.0%;KL62_15_wzx,99.772%;KL62_16_gnd,100.0%;KL62_17_manC,100.0%;KL62_18_manB,99.781%;KL62_19_ugd,100.0%		0		0 / 19 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,98.806%
16228_1#30.contigs_velvet	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,99.733%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
16228_1#31.contigs_velvet	KL23	K23	Very high		100.00%	99.91%	0 bp	19 / 19 (100%)	KL23_01_galF,100.0%;KL23_02_cpsACP,100.0%;KL23_03_wzi,99.791%;KL23_04_wza,100.0%;KL23_05_wzb,100.0%;KL23_06_wzc,100.0%;KL23_07_wcaA,99.67%;KL23_08_wcaJ,100.0%;KL23_09_wckU,100.0%;KL23_10_wzy,99.736%;KL23_11_wckA,99.672%;KL23_12,100.0%;KL23_13_wzx,100.0%;KL23_14_gnd,100.0%;KL23_15_rmlB,100.0%;KL23_16_rmlA,100.0%;KL23_17_rmlD,100.0%;KL23_18_rmlC,100.0%;KL23_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.393%;KL40_04,99.007%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.403%
16228_1#32.contigs_velvet	KL10	K10	Very high	*	100.00%	96.71%	-11 bp	20 / 20 (100%)	KL10_01_galF,99.666%;KL10_02_cpsACP,94.762%;KL10_03_wzi,97.292%;KL10_04_wza,100.0%;KL10_05_wzb,99.31%;KL10_06_wzc,99.722%;KL10_07_wbaP,100.0%;KL10_08_wclQ,99.735%;KL10_09_wclP,100.0%;KL10_10_wzx,99.399%;KL10_11_wcuQ,99.748%;KL10_12_wcaN,96.834%;KL10_13_wcuK,98.817%;KL10_14_wzy,98.768%;KL10_15_wcsO,95.294%;KL10_16_wbaZ,98.708%;KL10_17_gnd,99.147%;KL10_18_manC,99.153%;KL10_19_manB,97.155%;KL10_20_ugd,99.486%		0		0 / 20 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
16228_1#34.contigs_velvet	KL48	K48	High	*	100.00%	94.78%	-2 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,95.238%;KL48_03_wzi,98.326%;KL48_04_wza,98.413%;KL48_05_wzb,99.31%;KL48_06_wzc,98.056%;KL48_07_wcaA,94.719%;KL48_08_wcaJ,98.934%;KL48_09_wclL,93.75%;KL48_10_wzy,98.137%;KL48_11_wcqD,96.642%;KL48_12_wckU,95.429%;KL48_13,96.882%;KL48_14_wzx,98.194%;KL48_15_wcqE,96.319%;KL48_16_gnd,99.574%;KL48_17_rmlB,98.873%;KL48_18_rmlA,97.917%;KL48_19_rmlD,98.99%;KL48_20_rmlC,98.919%;KL48_21_ugd,99.743%		0		0 / 21 (0%)		3	KL40_05_rfaG,98.158%;KL150_19_gmd,98.806%;KL150_19_gmd,84.985%
16228_1#36.contigs_velvet	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,99.733%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
16228_1#38.contigs_velvet	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.722%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
16228_1#39.contigs_velvet	KL30	K30	Very high	*	100.00%	96.45%	-1 bp	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,99.524%;KL30_03_wzi,99.406%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.309%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,93.151%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.549%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.153%;KL30_19_manB,99.787%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,98.806%
16228_1#3.contigs_velvet	KL125	unknown (KL125)	High	*	100.00%	90.34%	-10 bp	18 / 18 (100%)	KL125_01_galF,98.662%;KL125_02_cpsACP,96.19%;KL125_03_wzi,97.917%;KL125_04_wza,98.945%;KL125_05_wzb,94.406%;KL125_06_wzc,96.1%;KL125_07_wbaP,93.067%;KL125_08_wcaN,90.972%;KL125_09_wzy,92.908%;KL125_10,87.853%;KL125_11,91.481%;KL125_12_wcaG,92.727%;KL125_13_wcuH,91.912%;KL125_14_wzx,91.525%;KL125_15,85.844%;KL125_16,85.659%;KL125_17_gnd,97.441%;KL125_18_ugd,99.743%		0		0 / 18 (0%)		3	KL21_17_manC,100.0%;KL30_19_manB,98.501%;KL150_19_gmd,99.403%
16228_1#40.contigs_velvet	KL24	K24	High	-	100.00%	99.99%	-1 bp	18 / 19 (94.7%)	KL24_01_galF,100.0%;KL24_02_cpsACP,100.0%;KL24_03_wzi,100.0%;KL24_04_wza,100.0%;KL24_05_wzb,100.0%;KL24_06_wzc,100.0%;KL24_07_wcuD,100.0%;KL24_08_wcuC,100.0%;KL24_09_wcuV,100.0%;KL24_10_wbaZ,100.0%;KL24_11_wcaJ,100.0%;KL24_12_wcuE,99.698%;KL24_14_wzy,100.0%;KL24_15_wzx,100.0%;KL24_16_gnd,100.0%;KL24_17_manC,100.0%;KL24_18_manB,100.0%;KL24_19_ugd,100.0%	KL24_13_wcuG	0		0 / 19 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
16228_1#47.contigs_velvet	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.722%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
16228_1#4.contigs_velvet	KL20	K20	High	*	100.00%	94.80%	+16 bp	18 / 18 (100%)	KL20_01_galF,99.331%;KL20_02_cpsACP,95.238%;KL20_03_wzi,99.014%;KL20_04_wza,99.211%;KL20_05_wzb,98.621%;KL20_06_wzc,97.928%;KL20_07_wbaP,98.742%;KL20_08_wzy,97.567%;KL20_09,97.688%;KL20_10_wcaN,96.528%;KL20_11_wcaO,93.684%;KL20_12,94.245%;KL20_13_wbaZ,96.439%;KL20_14_wzx,98.095%;KL20_15_gnd,99.36%;KL20_16_manC,99.364%;KL20_17_manB,99.344%;KL20_18_ugd,99.743%		0		0 / 18 (0%)		1	KL150_19_gmd,98.507%
16228_1#50.contigs_velvet	KL17	K17	Very high		100.00%	99.99%	0 bp	20 / 20 (100%)	KL17_01_galF,100.0%;KL17_02_cpsACP,100.0%;KL17_03_wzi,99.791%;KL17_04_wza,100.0%;KL17_05_wzb,100.0%;KL17_06_wzc,100.0%;KL17_07_wzy,100.0%;KL17_08_wctR,100.0%;KL17_09_wctS,100.0%;KL17_10_wctT,100.0%;KL17_11_wctU,100.0%;KL17_12_wcaJ,100.0%;KL17_13_wcmZ,100.0%;KL17_14_wzx,100.0%;KL17_15_gnd,100.0%;KL17_16_rmlB,100.0%;KL17_17_rmlA,100.0%;KL17_18_rmlD,100.0%;KL17_19_rmlC,100.0%;KL17_20_ugd,100.0%		0		0 / 20 (0%)		2	KL40_05_rfaG,98.421%;KL150_19_gmd,99.104%
16228_1#51.contigs_velvet	KL62	K62	High	-	100.00%	99.70%	+1767 bp	18 / 19 (94.7%)	KL62_01_galF,100.0%;KL62_02_cpsACP,100.0%;KL62_03_wzi,99.606%;KL62_04_wza,100.0%;KL62_05_wzb,100.0%;KL62_06_wzc,99.723%;KL62_07_wbaP,99.58%;KL62_08,99.738%;KL62_09,99.419%;KL62_10,100.0%;KL62_11_wzy,99.486%;KL62_13,99.167%;KL62_14,100.0%;KL62_15_wzx,100.0%;KL62_16_gnd,100.0%;KL62_17_manC,100.0%;KL62_18_manB,99.781%;KL62_19_ugd,100.0%	KL62_12	0		0 / 19 (0%)		2	KL40_05_rfaG,97.632%;KL150_19_gmd,98.806%
16228_1#52.contigs_velvet	KL25	K25	High	-	100.00%	98.53%	+4 bp	13 / 14 (92.9%)	KL25_01_galF,100.0%;KL25_02_cpsACP,100.0%;KL25_03_wzi,100.0%;KL25_04_wza,100.0%;KL25_05_wzb,100.0%;KL25_06_wzc,100.0%;KL25_07_wcaJ,100.0%;KL25_08_wzy,99.737%;KL25_10,100.0%;KL25_11_wcuB,99.681%;KL25_12_wzx,100.0%;KL25_13_gnd,99.572%;KL25_14_ugd,99.743%	KL25_09_wfeD	0		0 / 14 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,99.403%
16228_1#53.contigs_velvet	KL10	K10	Very high	*	100.00%	96.75%	-11 bp	20 / 20 (100%)	KL10_01_galF,99.331%;KL10_02_cpsACP,94.762%;KL10_03_wzi,97.292%;KL10_04_wza,100.0%;KL10_05_wzb,99.31%;KL10_06_wzc,99.722%;KL10_07_wbaP,100.0%;KL10_08_wclQ,99.735%;KL10_09_wclP,100.0%;KL10_10_wzx,99.399%;KL10_11_wcuQ,99.748%;KL10_12_wcaN,96.834%;KL10_13_wcuK,98.225%;KL10_14_wzy,98.768%;KL10_15_wcsO,95.294%;KL10_16_wbaZ,98.966%;KL10_17_gnd,99.147%;KL10_18_manC,98.941%;KL10_19_manB,97.374%;KL10_20_ugd,99.743%		0		0 / 20 (0%)		2	KL40_05_rfaG,97.105%;KL150_19_gmd,99.67%
16228_1#54.contigs_velvet	KL107	unknown (KL107)	None	?-+*	72.59%	80.40%	n/a	6 / 16 (37.5%)	KL107_01_galF,98.662%;KL107_02_cpsACP,98.095%;KL107_03_wzi,92.5%;KL107_04_wza,92.838%;KL107_11_gnd,96.162%;KL107_16_ugd,97.686%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10;KL107_12;KL107_13;KL107_14;KL107_15	3	KL15_06_wzc,95.7%;KL15_07_wcaJ,97.059%;KL79_05_wzb,99.31%	0 / 16 (0%)		1	KL150_19_gmd,88.554%
16228_1#55.contigs_velvet	KL142	unknown (KL142)	Good	?	100.00%	99.81%	n/a	21 / 21 (100%)	KL142_01_galF,99.666%;KL142_02_cpsACP,100.0%;KL142_03_wzi,99.791%;KL142_04_wza,99.736%;KL142_05_wzb,100.0%;KL142_06_wzc,99.862%;KL142_07_wcaA,99.349%;KL142_08_wcaJ,100.0%;KL142_09_wclJ,100.0%;KL142_10_wcuM,100.0%;KL142_11_wzy,100.0%;KL142_12_wcuH,100.0%;KL142_13_wzx,99.578%;KL142_14,100.0%;KL142_15_gnd,99.787%;KL142_16_wcqA,100.0%;KL142_17_rmlB,100.0%;KL142_18_rmlA,100.0%;KL142_19_rmlD,100.0%;KL142_20_rmlC,99.459%;KL142_21_ugd,100.0%		0		0 / 21 (0%)		4	KL169_23_wzx,99.387%;KL40_05_rfaG,98.158%;KL150_19_gmd,99.403%;KL169_24,100.0%
16228_1#56.contigs_velvet	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
